location,area_sqft,rooms,price_pkr
Johar Town Lahore,4197,8,128607000
Model Town Lahore,7066,6,218017000
Model Town Lahore,5779,9,208206000
Clifton Karachi,922,2,38610000
E-11 Islamabad,9586,8,459521000
I-8 Islamabad,1919,5,64124000
DHA Lahore,3645,5,111182000
F-10 Islamabad,4227,6,209150000
Clifton Karachi,1153,3,57219000
PECHS Karachi,3205,6,112545000
Model Town Lahore,8522,7,301335000
DHA Lahore,9866,7,343078000
DHA Lahore,9568,10,353947000
Gulberg Lahore,9795,6,317817000
North Nazimabad Karachi,7507,10,130573000
G-11 Islamabad,6998,7,241559000
Bahria Town Lahore,4852,5,141769000
Clifton Karachi,5572,10,301544000
Johar Town Lahore,7169,7,179207000
Defence Karachi,9855,10,553105000
Clifton Karachi,2146,6,96411000
F-11 Islamabad,5560,7,294147000
Clifton Karachi,4454,7,256786000
G-11 Islamabad,1397,2,52498000
PECHS Karachi,7548,6,218226000
I-8 Islamabad,8106,8,248121000
DHA Karachi,4832,8,186951000
DHA Lahore,7636,10,268896000
Clifton Karachi,9297,8,466191000
North Nazimabad Karachi,5181,7,103543000
Clifton Karachi,7655,6,371138000
Johar Town Lahore,1303,4,42051000
F-11 Islamabad,5392,9,317334000
E-11 Islamabad,8817,10,333759000
Defence Karachi,5134,9,274667000
F-10 Islamabad,1354,4,84458000
Johar Town Lahore,9533,7,298339000
PECHS Karachi,7745,8,227812000
DHA Karachi,2332,5,117172000
Bahria Town Lahore,6218,6,201372000
E-11 Islamabad,2919,4,104738000
Johar Town Lahore,820,4,23214000
DHA Karachi,1836,5,81321000
Gulberg Lahore,1549,5,49453000
Model Town Lahore,5655,7,217577000
G-11 Islamabad,3155,5,139371000
DHA Karachi,8311,10,419028000
Defence Karachi,2942,3,151501000
I-8 Islamabad,1332,2,40768000
Bahria Town Lahore,7933,6,317086000
Gulberg Lahore,5883,7,246393000
Gulberg Lahore,9428,9,330214000
Clifton Karachi,8952,6,453689000
Clifton Karachi,7005,6,379112000
Gulberg Lahore,1604,3,58667000
PECHS Karachi,9702,8,360882000
DHA Lahore,8343,9,307012000
PECHS Karachi,1812,4,48379000
E-11 Islamabad,4420,5,169166000
G-11 Islamabad,2588,3,101362000
Gulberg Lahore,2476,4,91999000
DHA Lahore,4661,7,150209000
F-11 Islamabad,9917,8,552973000
G-11 Islamabad,9476,9,458809000
I-8 Islamabad,5203,6,139857000
Defence Karachi,6746,9,311591000
F-11 Islamabad,9542,10,557232000
Gulberg Lahore,3766,4,151298000
F-11 Islamabad,7439,9,419185000
North Nazimabad Karachi,9095,10,191592000
DHA Lahore,2133,6,62038000
North Nazimabad Karachi,6791,9,140085000
Model Town Lahore,1378,2,44095000
Bahria Town Lahore,4833,4,150013000
Johar Town Lahore,9621,6,328569000
G-11 Islamabad,8081,10,350845000
DHA Lahore,5461,8,211295000
PECHS Karachi,1788,6,56436000
F-10 Islamabad,8453,7,550697000
PECHS Karachi,2545,6,69984000
North Nazimabad Karachi,4391,7,104173000
I-8 Islamabad,2870,4,100391000
North Nazimabad Karachi,590,1,14080000
DHA Lahore,7312,6,238443000
F-10 Islamabad,7861,10,384275000
DHA Karachi,5668,9,228309000
Defence Karachi,4137,7,207327000
I-8 Islamabad,9242,9,286315000
Clifton Karachi,8532,9,355924000
Gulberg Lahore,7011,10,267526000
E-11 Islamabad,4915,8,170725000
E-11 Islamabad,5991,6,283196000
DHA Lahore,817,4,33126000
Bahria Town Lahore,7412,7,243300000
PECHS Karachi,941,3,34995000
Clifton Karachi,9968,10,476259000
F-11 Islamabad,4173,4,178826000
F-10 Islamabad,1126,2,69574000
North Nazimabad Karachi,7397,10,135334000
North Nazimabad Karachi,5420,10,111631000
G-11 Islamabad,8405,9,309290000
Clifton Karachi,6605,7,388350000
E-11 Islamabad,5909,10,246877000
Bahria Town Lahore,1513,6,49279000
E-11 Islamabad,8270,6,289881000
Gulberg Lahore,6442,6,273873000
DHA Karachi,5982,6,255489000
I-8 Islamabad,2157,3,63775000
E-11 Islamabad,7416,10,265101000
North Nazimabad Karachi,3204,7,86227000
DHA Lahore,9169,8,360387000
Johar Town Lahore,1153,3,30131000
Gulberg Lahore,7125,7,259674000
PECHS Karachi,2722,6,94539000
Johar Town Lahore,7230,6,204312000
Model Town Lahore,6709,8,198659000
North Nazimabad Karachi,9605,9,181967000
Gulberg Lahore,1210,4,53697000
DHA Lahore,7873,8,341096000
Defence Karachi,6711,8,366985000
Bahria Town Lahore,4005,4,141349000
G-11 Islamabad,5863,7,231054000
Johar Town Lahore,8986,9,209775000
Gulberg Lahore,9335,7,395023000
Clifton Karachi,6294,10,345289000
G-11 Islamabad,5344,10,184097000
G-11 Islamabad,2027,4,93716000
PECHS Karachi,4510,5,150621000
Defence Karachi,6067,8,247235000
Bahria Town Lahore,3004,4,96306000
DHA Karachi,9989,10,373940000
Bahria Town Lahore,5219,9,204049000
F-11 Islamabad,5401,9,289869000
DHA Lahore,6431,10,251692000
Bahria Town Lahore,6562,8,276050000
G-11 Islamabad,5155,8,240419000
DHA Lahore,1010,2,37646000
PECHS Karachi,1820,4,52428000
G-11 Islamabad,3027,5,110977000
F-11 Islamabad,7649,10,456266000
Model Town Lahore,3614,6,104007000
I-8 Islamabad,2593,3,82014000
North Nazimabad Karachi,4795,8,106851000
I-8 Islamabad,3195,6,108233000
Johar Town Lahore,8184,7,249186000
I-8 Islamabad,4353,7,115246000
Gulberg Lahore,7028,8,262108000
Johar Town Lahore,3212,7,75856000
F-11 Islamabad,3249,8,161258000
E-11 Islamabad,2740,3,118738000
Johar Town Lahore,8494,10,192962000
Defence Karachi,8017,7,373024000
PECHS Karachi,5827,9,208161000
Clifton Karachi,4330,7,184496000
G-11 Islamabad,4845,7,184396000
F-10 Islamabad,7061,10,320615000
Clifton Karachi,8766,7,369981000
Bahria Town Lahore,8729,10,312522000
Clifton Karachi,9981,6,510922000
I-8 Islamabad,3590,5,120581000
Johar Town Lahore,7722,6,257357000
North Nazimabad Karachi,9350,9,219471000
PECHS Karachi,741,1,22366000
F-11 Islamabad,8667,9,383221000
PECHS Karachi,5874,10,170521000
I-8 Islamabad,506,2,15077000
PECHS Karachi,2573,5,70763000
F-10 Islamabad,4180,5,203074000
Clifton Karachi,6155,9,274145000
Gulberg Lahore,8696,10,401610000
G-11 Islamabad,3351,8,139545000
Gulberg Lahore,6802,9,220824000
E-11 Islamabad,3450,5,132380000
Gulberg Lahore,3347,8,103042000
Gulberg Lahore,6272,7,263521000
Bahria Town Lahore,9337,10,267357000
F-11 Islamabad,2213,4,122933000
Clifton Karachi,3022,7,153690000
F-11 Islamabad,7556,7,386549000
F-10 Islamabad,5116,10,267807000
PECHS Karachi,8252,7,301515000
PECHS Karachi,9330,8,350872000
Johar Town Lahore,9337,8,309157000
DHA Lahore,1693,6,62705000
Johar Town Lahore,606,1,17824000
Johar Town Lahore,8122,8,249020000
F-11 Islamabad,2643,5,128944000
E-11 Islamabad,7343,8,258668000
Johar Town Lahore,2748,5,73785000
F-10 Islamabad,5796,6,355263000
F-11 Islamabad,3932,6,183461000
E-11 Islamabad,4478,4,215530000
Gulberg Lahore,5804,6,188180000
F-10 Islamabad,9040,9,484547000
G-11 Islamabad,5054,9,210426000
Model Town Lahore,4108,4,121951000
E-11 Islamabad,5208,7,244806000
Defence Karachi,1735,6,74690000
I-8 Islamabad,2488,6,69444000
Defence Karachi,7297,6,398670000
Johar Town Lahore,9736,10,309513000
I-8 Islamabad,3029,4,97759000
E-11 Islamabad,2324,3,107031000
Gulberg Lahore,1624,4,68333000
DHA Lahore,8199,8,241660000
I-8 Islamabad,1134,3,33746000
Clifton Karachi,7602,8,405173000
F-11 Islamabad,3254,4,188926000
E-11 Islamabad,6425,10,235925000
DHA Lahore,7555,7,240338000
Defence Karachi,6231,8,326644000
E-11 Islamabad,6618,9,277784000
F-11 Islamabad,7492,8,406925000
F-10 Islamabad,1036,4,60205000
F-11 Islamabad,1629,5,74384000
PECHS Karachi,3427,8,95872000
E-11 Islamabad,4825,8,216595000
F-10 Islamabad,7094,8,443349000
Model Town Lahore,2483,3,83405000
Clifton Karachi,3904,5,182708000
Model Town Lahore,2138,3,78976000
E-11 Islamabad,6376,6,257039000
Clifton Karachi,5585,9,293011000
Model Town Lahore,2963,5,88984000
F-10 Islamabad,6253,10,388765000
Clifton Karachi,7522,7,396518000
North Nazimabad Karachi,8300,9,173001000
E-11 Islamabad,4233,6,159821000
E-11 Islamabad,2112,3,86868000
Clifton Karachi,4082,5,220557000
Bahria Town Lahore,1576,4,54041000
Gulberg Lahore,2273,5,101200000
North Nazimabad Karachi,5942,9,152602000
Johar Town Lahore,5064,10,141001000
F-10 Islamabad,7525,8,378694000
Johar Town Lahore,1271,2,31569000
Defence Karachi,4378,5,187313000
DHA Lahore,6228,8,197690000
I-8 Islamabad,1643,5,55006000
